File	Read_Count
2023-1-PMP-PR-LE-2-16S_S46_L001_R2_001.fastq.gz	18065
2023-1-VBS-CL-FL-1-16S_S102_L001_R1_001.fastq.gz	22597
2023-1-VBS-CL-FL-1-16S_S102_L001_R2_001.fastq.gz	22597
2023-1-VBS-CL-FL-2-16S_S104_L001_R1_001.fastq.gz	21119
2023-1-VBS-CL-FL-2-16S_S104_L001_R2_001.fastq.gz	21119
2023-1-VBS-CL-FL-3-16S_S106_L001_R1_001.fastq.gz	17313
2023-1-VBS-CL-FL-3-16S_S106_L001_R2_001.fastq.gz	17313
2023-1-VBS-CL-LE-1-16S_S103_L001_R1_001.fastq.gz	12831
2023-1-VBS-CL-LE-1-16S_S103_L001_R2_001.fastq.gz	12831
2023-1-VBS-CL-LE-2-16S_S105_L001_R1_001.fastq.gz	22563
2023-1-VBS-CL-LE-2-16S_S105_L001_R2_001.fastq.gz	22563
2023-1-VBS-CL-LE-3-16S_S107_L001_R1_001.fastq.gz	17396
2023-1-VBS-CL-LE-3-16S_S107_L001_R2_001.fastq.gz	17396
2023-1-VBS-FR-FL-1-16S_S132_L001_R1_001.fastq.gz	18998
2023-1-VBS-FR-FL-1-16S_S132_L001_R2_001.fastq.gz	18998
2023-1-VBS-FR-FL-2-16S_S134_L001_R1_001.fastq.gz	19563
2023-1-VBS-FR-FL-2-16S_S134_L001_R2_001.fastq.gz	19563
2023-1-VBS-FR-FL-3-16S_S136_L001_R1_001.fastq.gz	20590
2023-1-VBS-FR-FL-3-16S_S136_L001_R2_001.fastq.gz	20590
2023-1-VBS-FR-LE-1-16S_S133_L001_R1_001.fastq.gz	16414
2023-1-VBS-FR-LE-1-16S_S133_L001_R2_001.fastq.gz	16414
2023-1-VBS-FR-LE-2-16S_S135_L001_R1_001.fastq.gz	19729
2023-1-VBS-FR-LE-2-16S_S135_L001_R2_001.fastq.gz	19729
2023-1-VBS-FR-LE-3-16S_S137_L001_R1_001.fastq.gz	14885
2023-1-VBS-FR-LE-3-16S_S137_L001_R2_001.fastq.gz	14885
2023-1-VBS-HC-FL-1-16S_S114_L001_R1_001.fastq.gz	12528
2023-1-VBS-HC-FL-1-16S_S114_L001_R2_001.fastq.gz	12528
2023-1-VBS-HC-FL-2-16S_S116_L001_R1_001.fastq.gz	15802
2023-1-VBS-HC-FL-2-16S_S116_L001_R2_001.fastq.gz	15802
2023-1-VBS-HC-FL-3-16S_S118_L001_R1_001.fastq.gz	2566
2023-1-VBS-HC-FL-3-16S_S118_L001_R2_001.fastq.gz	2566
2023-1-VBS-HC-LE-1-16S_S115_L001_R1_001.fastq.gz	15360
2023-1-VBS-HC-LE-1-16S_S115_L001_R2_001.fastq.gz	15360
2023-1-VBS-HC-LE-2-16S_S117_L001_R1_001.fastq.gz	15902
2023-1-VBS-HC-LE-2-16S_S117_L001_R2_001.fastq.gz	15902
2023-1-VBS-HC-LE-3-16S_S119_L001_R1_001.fastq.gz	18250
2023-1-VBS-HC-LE-3-16S_S119_L001_R2_001.fastq.gz	18250
2023-1-VBS-LI-FL-1-16S_S126_L001_R1_001.fastq.gz	2949
2023-1-VBS-LI-FL-1-16S_S126_L001_R2_001.fastq.gz	2949
2023-1-VBS-LI-FL-2-16S_S128_L001_R1_001.fastq.gz	4412
2023-1-VBS-LI-FL-2-16S_S128_L001_R2_001.fastq.gz	4412
2023-1-VBS-LI-FL-3-16S_S130_L001_R1_001.fastq.gz	1003
2023-1-VBS-LI-FL-3-16S_S130_L001_R2_001.fastq.gz	1003
2023-1-VBS-LI-LE-1-16S_S127_L001_R1_001.fastq.gz	21061
2023-1-VBS-LI-LE-1-16S_S127_L001_R2_001.fastq.gz	21061
2023-1-VBS-LI-LE-2-16S_S129_L001_R1_001.fastq.gz	14153
2023-1-VBS-LI-LE-2-16S_S129_L001_R2_001.fastq.gz	14153
2023-1-VBS-LI-LE-3-16S_S131_L001_R1_001.fastq.gz	14471
2023-1-VBS-LI-LE-3-16S_S131_L001_R2_001.fastq.gz	14471
2023-1-VBS-PR-FL-1-16S_S108_L001_R1_001.fastq.gz	16917
2023-1-VBS-PR-FL-1-16S_S108_L001_R2_001.fastq.gz	16917
2023-1-VBS-PR-FL-2-16S_S110_L001_R1_001.fastq.gz	17403
2023-1-VBS-PR-FL-2-16S_S110_L001_R2_001.fastq.gz	17403
2023-1-VBS-PR-FL-3-16S_S112_L001_R1_001.fastq.gz	16060
2023-1-VBS-PR-FL-3-16S_S112_L001_R2_001.fastq.gz	16060
2023-1-VBS-PR-LE-1-16S_S109_L001_R1_001.fastq.gz	21267
2023-1-VBS-PR-LE-1-16S_S109_L001_R2_001.fastq.gz	21267
2023-1-VBS-PR-LE-2-16S_S111_L001_R1_001.fastq.gz	18482
2023-1-VBS-PR-LE-2-16S_S111_L001_R2_001.fastq.gz	18482
2023-1-VBS-PR-LE-3-16S_S113_L001_R1_001.fastq.gz	13897
2023-1-VBS-PR-LE-3-16S_S113_L001_R2_001.fastq.gz	13897
2023-1-VBS-SP-FL-1-16S_S120_L001_R1_001.fastq.gz	17192
2023-1-VBS-SP-FL-1-16S_S120_L001_R2_001.fastq.gz	17192
2023-1-VBS-SP-FL-2-16S_S122_L001_R1_001.fastq.gz	7882
2023-1-VBS-SP-FL-2-16S_S122_L001_R2_001.fastq.gz	7882
2023-1-VBS-SP-FL-3-16S_S124_L001_R1_001.fastq.gz	11115
2023-1-VBS-SP-FL-3-16S_S124_L001_R2_001.fastq.gz	11115
